day, percent, ok, all
2019-06-28, 0.172047, 3043, 17687
2019-06-29, 0.240171, 10098, 42045
2019-06-30, 0.265019, 7667, 28930
2019-07-01, 0.243908, 7337, 30081
2019-07-02, 0.098564, 1414, 14346
2019-07-04, 1.000000, 3171, 3171
2019-07-05, 0.240720, 6958, 28905
2019-07-06, 0.205765, 7246, 35215
2019-07-07, 0.280922, 9941, 35387
2019-07-08, 0.166394, 4687, 28168
2019-07-09, 0.304430, 5965, 19594
2019-07-10, 0.121743, 3224, 26482
2019-08-31, 0.422791, 13583, 32127
2019-09-01, 0.339912, 10953, 32223
2019-09-02, 0.355391, 11117, 31281
2019-09-03, 0.441617, 13778, 31199
2019-09-04, 0.490324, 15532, 31677
2019-09-05, 0.409268, 12948, 31637
2019-09-06, 0.252089, 8056, 31957
2019-09-09, 1.000000, 753, 753
2019-09-10, 0.383322, 9575, 24979
2019-09-11, 0.205432, 6543, 31850
2019-09-12, 0.162903, 5201, 31927
2019-09-13, 1.000000, 3, 3
