day, percent, ok, all
2019-06-28, 0.288467, 3084, 10691
2019-06-29, 0.359666, 7922, 22026
2019-06-30, 0.447038, 6799, 15209
2019-07-01, 0.422267, 6975, 16518
2019-07-02, 0.256284, 3171, 12373
2019-07-04, 0.946591, 833, 880
2019-07-05, 0.499015, 8108, 16248
2019-07-06, 0.235719, 2872, 12184
2019-07-07, 0.421024, 8423, 20006
2019-07-08, 0.620496, 9282, 14959
2019-07-09, 0.454152, 8187, 18027
2019-07-10, 0.382551, 7086, 18523
2019-08-30, 1.000000, 2, 2
2019-08-31, 0.326399, 11124, 34081
2019-09-01, 0.430275, 14610, 33955
2019-09-02, 0.441071, 14700, 33328
2019-09-03, 0.451013, 15067, 33407
2019-09-04, 0.341728, 11425, 33433
2019-09-05, 0.294137, 9863, 33532
2019-09-06, 0.230923, 7868, 34072
2019-09-09, 0.994186, 1026, 1032
2019-09-10, 0.356144, 9597, 26947
2019-09-11, 0.358369, 12167, 33951
2019-09-12, 0.174999, 5874, 33566
2019-09-13, 1.000000, 1, 1
2019-09-14, 1.000000, 2, 2
