day, percent, ok, all
2019-06-28, 0.154060, 2772, 17993
2019-06-29, 0.150685, 7073, 46939
2019-06-30, 0.168302, 5404, 32109
2019-07-01, 0.218102, 5581, 25589
2019-07-02, 0.053607, 807, 15054
2019-07-04, 0.996495, 3127, 3138
2019-07-05, 0.180736, 5693, 31499
2019-07-06, 0.222229, 7100, 31949
2019-07-07, 0.190643, 7245, 38003
2019-07-08, 0.225468, 7502, 33273
2019-07-09, 0.252062, 7639, 30306
2019-07-10, 0.077349, 1747, 22586
2019-08-22, 0.964181, 3284, 3406
2019-08-31, 0.482675, 15894, 32929
2019-09-01, 0.420065, 13876, 33033
2019-09-02, 0.491808, 15729, 31982
2019-10-08, 1.000000, 228, 228
2019-10-09, 0.122973, 766, 6229
2019-10-16, 0.462404, 2054, 4442
2019-10-17, 0.408686, 1929, 4720
2019-10-21, 1.000000, 156, 156
