day, percent, ok, all
2019-06-26, 0.436329, 9666, 22153
2019-06-29, 0.305777, 6802, 22245
2019-06-30, 0.429982, 7535, 17524
2019-07-01, 0.418414, 7962, 19029
2019-07-02, 0.362686, 4024, 11095
2019-07-04, 0.995948, 1229, 1234
2019-07-05, 0.488848, 9381, 19190
2019-07-06, 0.496519, 12124, 24418
2019-07-07, 0.378643, 8496, 22438
2019-07-08, 0.493910, 8840, 17898
2019-07-09, 0.445514, 9996, 22437
2019-07-10, 0.389823, 7515, 19278
2019-08-22, 0.471227, 1605, 3406
2019-08-30, 1.000000, 9, 9
2019-08-31, 0.268026, 9007, 33605
2019-09-01, 0.534682, 17968, 33605
2019-09-02, 0.278945, 9095, 32605
2019-10-08, 1.000000, 228, 228
2019-10-09, 0.103227, 643, 6229
2019-10-16, 0.293134, 1315, 4486
